iter	RMSE
0	121.0953375
1	117.5882041
2	114.5740979
3	111.8382315
4	109.0229565
5	106.2814847
6	103.6622098
7	101.2166874
8	99.02646881
9	97.00924326
10	95.17895202
11	93.37101209
12	91.52745917
13	89.94060931
14	88.40082789
15	86.96607833
16	85.5832213
17	84.2428739
18	82.96360886
19	81.83065823
20	80.82490921
21	79.83153526
22	78.79605699
23	77.87460583
24	77.00951447
25	76.19331262
26	75.48903338
27	74.80280511
28	74.12077076
29	73.43905226
30	72.79089048
31	72.16166627
32	71.59549066
33	71.07721139
34	70.59751042
35	69.92491002
36	69.28201899
37	68.82098222
38	68.39288943
39	67.95188457
40	67.53421101
41	67.15455266
42	66.82507784
43	66.44416812
44	66.11839265
45	65.81497831
46	65.47005578
47	65.20241191
48	64.91542524
49	64.67929152
50	64.22894105
51	64.00082555
52	63.72040658
53	63.49073926
54	63.14417607
55	62.89900035
56	62.61731174
57	62.45135983
58	62.17612455
59	61.82972407
60	61.57373119
61	61.37607907
62	61.21796959
63	61.05663878
64	60.88844629
65	60.73137171
66	60.56587422
67	60.41568117
68	60.19122288
69	60.07594887
70	59.94835239
71	59.78489443
72	59.67842859
73	59.54481393
74	59.42629403
75	59.31653128
76	59.17574224
77	58.96685868
78	58.84060236
79	58.63897844
80	58.51137897
81	58.42260063
82	58.33532154
83	58.23097208
84	58.09504554
85	57.98571877
86	57.81768166
87	57.72850826
88	57.63134342
89	57.51677647
90	57.43596125
91	57.35468397
92	57.27046808
93	57.17613855
94	57.009969
95	56.9572593
96	56.78905982
97	56.7249619
98	56.65751126
99	56.57841393
100	56.5173284
101	56.47352988
102	56.42865655
103	56.37161593
104	56.31741712
105	56.28419935
106	56.21447739
107	56.16297415
108	56.03689947
109	55.88736167
110	55.85429337
111	55.8083888
112	55.76192417
113	55.69419081
114	55.63895053
115	55.60447085
116	55.56505594
117	55.49929279
118	55.46883304
119	55.41819077
120	55.34626955
121	55.26116343
122	55.09098466
123	55.06061323
124	54.90992021
125	54.87525755
126	54.80800229
127	54.77710328
128	54.72819086
129	54.58815363
130	54.55352876
131	54.42033217
132	54.38575392
133	54.32764445
134	54.22510293
135	54.12767687
136	54.10580573
137	54.05250982
138	54.00108058
139	53.89457183
140	53.84406998
141	53.80653514
142	53.72236495
143	53.70228453
144	53.61792355
145	53.59330922
146	53.48734918
147	53.43878023
148	53.42321179
149	53.38662457
150	53.25778358
151	53.23589038
152	53.21453594
153	53.19364988
154	53.12384481
155	53.09218924
156	53.06070915
157	53.01587873
158	52.99476318
159	52.88285979
160	52.84914779
161	52.81495118
162	52.72700257
163	52.68381489
164	52.6550343
165	52.61605344
166	52.57257348
167	52.54209371
168	52.49585928
169	52.43096514
170	52.41149584
171	52.39150042
172	52.35096541
173	52.29497258
174	52.25825895
175	52.22741384
176	52.16673849
177	52.11736132
178	52.07855252
179	52.06273602
180	52.0144889
181	51.98250206
182	51.94532394
183	51.91302643
184	51.87694742
185	51.86367801
186	51.84151649
187	51.8117052
188	51.78760402
189	51.77354644
190	51.72610998
191	51.69351353
192	51.66537152
193	51.64341838
194	51.61339692
195	51.59127673
196	51.52429147
197	51.49494795
198	51.47660074
199	51.45765241
200	51.37579689
201	51.33209232
202	51.3037773
203	51.28675131
204	51.25849735
205	51.1551889
206	51.05043862
207	51.02577331
208	50.96108175
209	50.9214255
210	50.89803384
211	50.82159438
212	50.79510264
213	50.77006089
214	50.73205805
215	50.70943793
216	50.69343212
217	50.67999077
218	50.66496557
219	50.64643923
220	50.63343085
221	50.61075591
222	50.57558821
223	50.50566863
224	50.49149858
225	50.46682835
226	50.43370448
227	50.42043624
228	50.40817935
229	50.34075184
230	50.27912123
231	50.26566624
232	50.23504892
233	50.21290163
234	50.19400231
235	50.16245645
236	50.14539499
237	50.13437267
238	50.10432748
239	50.09036177
240	50.07027958
241	50.05865053
242	50.03822454
243	50.00896518
244	49.98014695
245	49.96562517
246	49.93748477
247	49.9279349
248	49.89868868
249	49.8866372
250	49.87412904
251	49.86375921
252	49.84630702
253	49.83416615
254	49.82569689
255	49.79832811
256	49.78862425
257	49.78190992
258	49.75583152
259	49.72827959
260	49.71275791
261	49.70535503
262	49.68488276
263	49.62707948
264	49.61949083
265	49.59806687
266	49.59067248
267	49.57999773
268	49.57302533
269	49.54354107
270	49.52555046
271	49.50004307
272	49.48363858
273	49.47374853
274	49.46564605
275	49.44714965
276	49.42605115
277	49.41447383
278	49.39492119
279	49.38843756
280	49.37256461
281	49.3392057
282	49.33213207
283	49.27508831
284	49.24443753
285	49.21596747
286	49.13475135
287	49.11483404
288	49.06094416
289	49.0518339
290	49.03284684
291	49.02421663
292	49.00915062
293	48.99851714
294	48.94671449
295	48.89243578
296	48.86058374
297	48.85426193
298	48.82827756
299	48.81401287
